date,time,item_name,transaction_type,own_cup,surcharge,customer_id,timestamp,hour,price,production_cost,item_type,drink_temperature,drink_type,gross_margin_pct,revenue,gross_margin,day_of_week,day_name,month,month_name,year,quarter,is_weekend,is_drink,is_merchandise,season,time_period,customer_visit_number,customer_total_spent,customer_avg_spend,is_morning,is_lunch,is_afternoon,week_of_year,day_of_year,post_surcharge,price_tier,margin_tier,product_category
2022-01-01,07:03:30,Cold Brew,Takeout,True,False,26946,2022-01-01 07:03:30,7,4.75,1.35,Drink,Cold,Coffee,71.57894736842105,4.75,3.4,5,Saturday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.75,4.75,True,False,False,52,1,0,High,High,Coffee
2022-01-01,07:30:58,Iced Coffee,Takeout,True,False,24356,2022-01-01 07:30:58,7,4.0,1.1,Drink,Cold,Coffee,72.5,4.0,2.9,5,Saturday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.0,4.0,True,False,False,52,1,0,Low,Low,Coffee
2022-01-01,08:32:23,Iced Latte,Takeout,False,False,3760,2022-01-01 08:32:23,8,4.6,1.25,Drink,Cold,Coffee,72.82608695652173,4.6,3.3499999999999996,5,Saturday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.6,4.6,True,False,False,52,1,0,Medium,Medium,Coffee
2022-01-01,08:45:03,Latte,Dine-in,True,False,5900,2022-01-01 08:45:03,8,4.5,1.2,Drink,Hot,Coffee,73.33333333333333,4.5,3.3,5,Saturday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.5,4.5,True,False,False,52,1,0,Medium,Medium,Coffee
2022-01-01,09:03:47,Latte,Takeout,False,False,11589,2022-01-01 09:03:47,9,4.5,1.2,Drink,Hot,Coffee,73.33333333333333,4.5,3.3,5,Saturday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.5,4.5,True,False,False,52,1,0,Medium,Medium,Coffee
2022-01-01,10:02:30,Flat White,Takeout,True,False,1786,2022-01-01 10:02:30,10,4.75,1.25,Drink,Hot,Coffee,73.68421052631578,4.75,3.5,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.75,4.75,True,False,False,52,1,0,High,High,Coffee
2022-01-01,10:29:29,Iced Latte,Takeout,False,False,904,2022-01-01 10:29:29,10,4.6,1.25,Drink,Cold,Coffee,72.82608695652173,4.6,3.3499999999999996,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.6,4.6,True,False,False,52,1,0,Medium,Medium,Coffee
2022-01-01,10:53:39,Flat White,Takeout,True,False,4942,2022-01-01 10:53:39,10,4.75,1.25,Drink,Hot,Coffee,73.68421052631578,4.75,3.5,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.75,4.75,True,False,False,52,1,0,High,High,Coffee
2022-01-01,10:59:50,Americano,Dine-in,True,False,7692,2022-01-01 10:59:50,10,3.5,1.0,Drink,Hot,Coffee,71.42857142857143,3.5,2.5,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,3.5,3.5,True,False,False,52,1,0,Low,Low,Coffee
2022-01-01,11:02:54,Chai Latte,Takeout,False,False,25702,2022-01-01 11:02:54,11,4.9,1.5,Drink,Hot,Tea,69.38775510204081,4.9,3.4000000000000004,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.9,4.9,True,False,False,52,1,0,High,High,Tea
2022-01-01,11:10:10,Iced Coffee,Takeout,True,False,28392,2022-01-01 11:10:10,11,4.0,1.1,Drink,Cold,Coffee,72.5,4.0,2.9,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.0,4.0,True,False,False,52,1,0,Low,Low,Coffee
2022-01-01,11:37:42,Matcha Latte,Takeout,False,False,22643,2022-01-01 11:37:42,11,5.25,1.6,Drink,Hot,Tea,69.52380952380952,5.25,3.65,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,5.25,5.25,True,False,False,52,1,0,High,High,Tea
2022-01-01,11:51:50,Cold Brew,Takeout,True,False,20890,2022-01-01 11:51:50,11,4.75,1.35,Drink,Cold,Coffee,71.57894736842105,4.75,3.4,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.75,4.75,True,False,False,52,1,0,High,High,Coffee
2022-01-01,12:35:16,Iced Latte,Takeout,True,False,24017,2022-01-01 12:35:16,12,4.6,1.25,Drink,Cold,Coffee,72.82608695652173,4.6,3.3499999999999996,5,Saturday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.6,4.6,False,True,False,52,1,0,Medium,Medium,Coffee
2022-01-01,14:04:54,Latte,Takeout,True,False,25267,2022-01-01 14:04:54,14,4.5,1.2,Drink,Hot,Coffee,73.33333333333333,4.5,3.3,5,Saturday,1,January,2022,1,True,True,False,Winter,"Afternoon
(12-15)",1,4.5,4.5,False,True,False,52,1,0,Medium,Medium,Coffee
2022-01-01,15:30:23,Cold Brew,Dine-in,True,False,7962,2022-01-01 15:30:23,15,4.75,1.35,Drink,Cold,Coffee,71.57894736842105,4.75,3.4,5,Saturday,1,January,2022,1,True,True,False,Winter,"Afternoon
(12-15)",1,4.75,4.75,False,False,True,52,1,0,High,High,Coffee
2022-01-01,15:55:21,Iced Coffee,Takeout,True,False,3881,2022-01-01 15:55:21,15,4.0,1.1,Drink,Cold,Coffee,72.5,4.0,2.9,5,Saturday,1,January,2022,1,True,True,False,Winter,"Afternoon
(12-15)",1,4.0,4.0,False,False,True,52,1,0,Low,Low,Coffee
2022-01-02,07:09:02,Iced Matcha Latte,Takeout,False,False,10167,2022-01-02 07:09:02,7,5.25,1.6,Drink,Cold,Tea,69.52380952380952,5.25,3.65,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,5.25,5.25,True,False,False,52,2,0,High,High,Tea
2022-01-02,07:30:08,Matcha Latte,Dine-in,True,False,20155,2022-01-02 07:30:08,7,5.25,1.6,Drink,Hot,Tea,69.52380952380952,5.25,3.65,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,5.25,5.25,True,False,False,52,2,0,High,High,Tea
2022-01-02,07:40:06,Latte,Takeout,False,False,28392,2022-01-02 07:40:06,7,4.5,1.2,Drink,Hot,Coffee,73.33333333333333,4.5,3.3,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",2,8.5,4.25,True,False,False,52,2,0,Medium,Medium,Coffee
2022-01-02,07:56:27,Green Tea,Takeout,False,False,12458,2022-01-02 07:56:27,7,2.9,0.2,Drink,Hot,Tea,93.10344827586206,2.9,2.6999999999999997,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,2.9,2.9,True,False,False,52,2,0,Low,Low,Tea
2022-01-02,08:26:25,Hot Chocolate,Takeout,True,False,9514,2022-01-02 08:26:25,8,4.25,1.1,Drink,Hot,Other,74.11764705882354,4.25,3.15,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.25,4.25,True,False,False,52,2,0,Medium,Medium,Other_Drink
2022-01-02,08:47:16,Iced Matcha Latte,Takeout,False,False,948,2022-01-02 08:47:16,8,5.25,1.6,Drink,Cold,Tea,69.52380952380952,5.25,3.65,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,5.25,5.25,True,False,False,52,2,0,High,High,Tea
2022-01-02,09:13:31,Iced Latte,Takeout,False,False,16817,2022-01-02 09:13:31,9,4.6,1.25,Drink,Cold,Coffee,72.82608695652173,4.6,3.3499999999999996,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.6,4.6,True,False,False,52,2,0,Medium,Medium,Coffee
2022-01-02,09:27:33,Iced Latte,Takeout,False,False,24115,2022-01-02 09:27:33,9,4.6,1.25,Drink,Cold,Coffee,72.82608695652173,4.6,3.3499999999999996,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.6,4.6,True,False,False,52,2,0,Medium,Medium,Coffee
2022-01-02,09:31:35,Latte,Takeout,True,False,15800,2022-01-02 09:31:35,9,4.5,1.2,Drink,Hot,Coffee,73.33333333333333,4.5,3.3,6,Sunday,1,January,2022,1,True,True,False,Winter,"Morning
(6-9)",1,4.5,4.5,True,False,False,52,2,0,Medium,Medium,Coffee
2022-01-02,10:08:01,Chai Latte,Takeout,False,False,27177,2022-01-02 10:08:01,10,4.9,1.5,Drink,Hot,Tea,69.38775510204081,4.9,3.4000000000000004,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.9,4.9,True,False,False,52,2,0,High,High,Tea
2022-01-02,10:19:33,Cold Brew,Dine-in,False,False,14478,2022-01-02 10:19:33,10,4.75,1.35,Drink,Cold,Coffee,71.57894736842105,4.75,3.4,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.75,4.75,True,False,False,52,2,0,High,High,Coffee
2022-01-02,10:25:25,Americano,Takeout,False,False,2674,2022-01-02 10:25:25,10,3.5,1.0,Drink,Hot,Coffee,71.42857142857143,3.5,2.5,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,3.5,3.5,True,False,False,52,2,0,Low,Low,Coffee
2022-01-02,10:30:10,Latte,Takeout,False,False,25702,2022-01-02 10:30:10,10,4.5,1.2,Drink,Hot,Coffee,73.33333333333333,4.5,3.3,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",2,9.4,4.7,True,False,False,52,2,0,Medium,Medium,Coffee
2022-01-02,10:43:09,Espresso,Takeout,False,False,18500,2022-01-02 10:43:09,10,3.0,0.8,Drink,Hot,Coffee,73.33333333333334,3.0,2.2,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,3.0,3.0,True,False,False,52,2,0,Low,Low,Coffee
2022-01-02,11:12:13,Chai Latte,Takeout,True,False,2707,2022-01-02 11:12:13,11,4.9,1.5,Drink,Hot,Tea,69.38775510204081,4.9,3.4000000000000004,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.9,4.9,True,False,False,52,2,0,High,High,Tea
2022-01-02,11:14:05,Iced Matcha Latte,Takeout,False,False,4660,2022-01-02 11:14:05,11,5.25,1.6,Drink,Cold,Tea,69.52380952380952,5.25,3.65,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,5.25,5.25,True,False,False,52,2,0,High,High,Tea
2022-01-02,11:14:47,Americano,Dine-in,True,False,5958,2022-01-02 11:14:47,11,3.5,1.0,Drink,Hot,Coffee,71.42857142857143,3.5,2.5,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,3.5,3.5,True,False,False,52,2,0,Low,Low,Coffee
2022-01-02,11:51:31,Iced Coffee,Takeout,True,False,2528,2022-01-02 11:51:31,11,4.0,1.1,Drink,Cold,Coffee,72.5,4.0,2.9,6,Sunday,1,January,2022,1,True,True,False,Winter,"Midday
(9-12)",1,4.0,4.0,True,False,False,52,2,0,Low,Low,Coffee
